Abbot Burn
Abert Rim
Abraham Flat (Blue Jay Springs)
Acker Rock
Adobe Flat
Althouse Creek
Antelope Creek
Antone Creek
Arch Rock
Arkansas Flat
Arnold Creek
Ash Flat
Ash Gulch
Aspen Flat
Bachelor Mountain
Bad Lands
Badger Canyon
Badger Creek
Badger Creek Additions
Bailey Ridge
Bald Mountain
Baldy Mountain
Bally Mountain
Barclay Creek
Barlow Butte
Barnes Valley Creek (upper)
Barry Point
Basin Springs
Baxter Creek
Bear Bones Mountain
Bear Butte
Bear Creek
Bear Gulch
Bear Mountain
Bear Ridge
Bear Tree Springs
Bear Wallow
Bear Wallow Springs
Beaver Creek
Beaver Creek (La Grande City Watershed)
Beaver Dam Creek
Bedrock Creek
Begg Creek
Bellworm Canyon
Belshaw Creek
Benham Falls
Benny Creek
Berry Creek
Big Bend Mountain
Big Bottom
Big Creek
Big Sink Ridge
Big Springs
Big Swamp
Big and Little Sheep Creeks
Billie Creek
Bills Creek
Bitter Lick Creek
Black Butte
Black Canyon Wilderness Additions
Black Canyon Wilderness Additions N
Black Canyon Wilderness Additions S
Black Mountain
Black Rock
Black Wolf Meadows
Blackberry Creek
Blowout Creek
Blue Gulch
Blue Kettle Ridge
Blue Mountain
Blue Ridge
Blue Ridge Spring
Bluebill Lake
Board Mountain
Boaz Mountain
Bob Meadow
Bologna Basin
Bonanza Basin
Bone Point
Boner Gulch
Bonney Butte
Boulder Creek Additions
Boulder Lake
Boulder Springs
Box Canyon
Box Springs
Brattain Butte
Bravo Ransom Creek
Brice Creek
Bridge Creek
Bridge Creek Additions
Briggs Creek
Broadway Lava
Browder Ridge
Brown Creek
Brown Mountain
Brummit Fir
Bryant Mountains
Buck Creek
Buck Mountain
Buckhorn
Buckhorn Mountain
Buffalo Peak
Bulger Creek
Bull Mountain
Bull of the Woods Opal Creek Additions
Bulldog Rock
Bummer Creek
Bump Creek
Buncom
Bunker Hill
Burnt Butte
Burnt Granite
Burnt Mountain
Burton Butte
Byars Creek
Cache Mountain
Calamity Butte
Calamity Creek
Canton Creek
Cape Horn
Carpenter Mountain
Cascade Head
Castle Ridge
Cat Mountain
Cedar Creek
Cedar Mountain
Cedar Springs Mountain
Chalk Creek
Chapin Table
Chapman Creek
Charlton Butte
Chesnimnus Creek Headwaters
Chetco River Gorge
Chewaucan River
Chickahominy Creek
Chilcoot Mountain
China Creek
Chocktoot Creek
Chocolate Falls
Chucksney Mountain
Circle Lake
City Creek
Clearwater Falls
Cliffs Creek
Clover Patch Butte
Coal Falls Creek
Coffee Creek
Coffeepot Creek
Coleman Rim
Collins Ridge
Cook Creek
Coquille River Falls
Cornet Creek
Cottonwood Creek
Cottonwood Creek - Mudusa Flat
Cottonwood Creek-Broady Creek
Cottonwood Meadows
Cougar Bluff
Cougar Creek
Cougar Mountain
Courtney Creek
Cow Creek
Cowhorn Butte
Cox Creek
Coyote Flat
Crabtree Valley
Craft Point
Crane Mountain
Crane Prairie
Crater Lake Rim
Crazy Creek
Crooked Creek
Crow Ridge
Crystal Spring-Malone Springs
Cultus Mountain
Cummings Creek
Cummins Creek Additions
Czar Springs
Dakubetede
Daley Lake
Dark Canyon
Davis Creek
Davis Lake Lava Flow
Davis Mountain
Dead Horse Rim
Dead Soldier Meadow
Deadwood Creek
Dean Creek
Deardorff Creek
Deardorff Mountain
Deception Butte
Deep Canyon
Deer Creek
Desolation Creek
Devil Lake
Devil's Garden
Devils Ball Diamond
Devils Creek
Devine Canyon
Diamond Peak Wilderness Additions
Dick's Ridge
Dicks Spring
Dingus Springs
Dipping Vat Creek
Dixie Butte
Dodds Creek
Doe Mountain
Dome Rock
Donegan Prairie
Donomore Peak
Drake Peak
Dread and Terror Ridge
Drew Creek
Drift Creek
Dry Creek
Dry Mountain
Duck Creek Headwaters
Dumont Creek
Dunlop Meadows
Dutch Gulch
Dutchman Flat
Dutchy Creek
Eagle Canyon
Eagle Cap Additions - Reservoir
East Duncan Creek
East Pine Mountain
Echo Canyon
Ed's Meadow -Clackamas River
Eight Dollar Mountain
Elbow Butte
Elbow Canyon
Elder Creek
Elk Mountain
Elkhorn Creek
Elliot Ridge
Emigrant Creek
Fairview Mountain
Fairview Peak
Fall Creek
Farlow Hill
Fawn Creek
Fiddle Creek
Fifteenmile Creek
Firestone Butte
Fish Creek
Fishhole Lakes
Fitzwater Point
Five Mile Creek
Five Points Creek
Flag Creek
Flat Rock
Flood Rock
Flume Gulch
Fly Creek
Fly Creek-Grande Ronde River
Forked Horn Springs
Forks of Cable Creek-Hidaway Meadows
Forks of the Walla Walla
Foster Creek
Fourmile Creek
Fox Creek
French Peak
Frissell Crossing
Gabe Spring
Garret Basin Spring
Garwood Butte
Gearhart Mountain Additions
George Creek
Gerber Rim
Gibbons Mill Canyon
Gilbert Ridge
Ginkgo Creek
Glacier Mountain
Glades Creek
Goodlow Rim
Goodwater Spring
Goose Lake
Goose Pasture
Gordon Creek
Gordon Meadows Old Cascades
Gorge Face - Mark O  Hatfield Addition
Government Harvey Pass
Gradon Canyon
Grande Ronde Canyon
Grande Ronde Lake
Granite Peak
Grasshopper Flat
Grassy Butte
Grassy Knob Additions
Grave Creek-Deer Creek
Graves Creek
Greater Enchanted Forest
Green Butte
Green Mountain
Green Ridge
Green Springs Mountain
Greenleaf Creek
Grizzly Peak
Grotto Falls
Groundhog Creek
Grouse Creek
Gumboot Butte
Gunbarrel Creek
Guyer Creek
Gwynn Creek
Hadley Butte
Hager Mountain
Hall Creek
Hall Ridge
Hammer Creek
Hanan Trail
Haney Creek
Hanscomb Mountain
Happy Jack
Hardesty Mountain
Hardscrabble Ridge
Hardy Ridge
Hatchet Creek
Hawk Mountain
Hay Creek
Haystack Draw
Hazel Camp
Heckletooth Mountain
Hellhole
Hellroaring Creek
Hells Canyon
Heppsie Mountain
Hickey Creek
Hinton Creek
Hoffman Creek
Homestead
Hoover Ridge
Horn Gulch
Horn Prairie
Horse Camp Rim
Horse Canyon
Horse Creek
Horse Heaven Ridge
Horse Mountain
Horseshoe Bend
Horseshoe Creek
Horseshoe Meadow
Horseshoe Ridge
Huckleberry Mountain
Hughet Valley
Humpy Mountain
Hunt Mountain
Illinois-Applegate Divide
Indian Creek
Indian Creek (Hall Haven)
Indian Ridge
Indiana Creek
Iron Hand
Iron Mountain
Iron Mountain Echo Mountain Old Cascades
J Spring
Jack Creek
Jackson Creek
Jim Hayes Creek
Jimbo Mountain
Johnnie Creek
Johnson Saddle
Jones Canyon
Jones Creek
Jordan Creek
Joseph Canyon
Joseph Creek
Josephine Creek
Jump Off Joe Peak
Jump off Joe
Juniper Creek
Jussard Creek
Kalmiopsis Additions
Karnowsky Creek
Keeney Meadows
Keith Canyon
Kelly Mountain
Kelsay Valley
King Mountain
Kinney Mountain
Kitson Ridge
Klamath River
Klondike Springs
Lake Creek
Lake Fork Creek
Lake Peak
Lake of the Woods Mountain
Lane Creek
Larch Mountain
Larison Creek
Larison Rock
Last Chance Creek
Last Creek
Lava Butte
Lava Cast Forest
Lava Lake
Lava River Cave
Laycock Creek
Lemolo
Lewis Officer Creek
Lick Creek
Lightening Gulch
Lilly Mountain
Limber Jim Meadows
Limestone Creek
Limpy Creek
Limpy Rock
Lind Peak
Linda Driskil
Link Bar Spring
Little Applegate River
Little Clear Creek
Little Fly Creek
Little Grayback Mountain
Little Honey Creek
Little Lookingglass Creek
Little Muddy Creek
Little Phillips Canyon
Little Round Prairie
Little Sandy River
Little Wolf Creek
Lobster Creek
Logan Valley
Lone Tree Ridge
Long Branch Creek
Long Butte
Long Creek
Long Creek Municipal Watershed
Long Meadow
Lookingglass Creek
Lookout Mountain
Lost Creek
Lost Lake Butte
Lost Valley
Lower Badger Creek
Lower Beaver Creek
Lower Buck Mountain
Lower Canyon Creek
Lower Divine Canyon
Lower Drift Creek
Lower Eagle Creek
Lower Ground Hog Butte
Lower Sugar Pine Butte
Lower Sycan Butte
Lower Sycan River
Lower Tioga Creek
Lower White River
Lunch Creek
Magpie Table
Mahogany Butte
Maiden Peak
Malheur River Canyon
Maple Gulch
Marble Point
Marco Creek
Marten Creek
Marys Peak
McCall Point
McClean Mountain
McClellan Mountain
McKinney Creek
McLennan Mountain
Meadow Creek
Memaloose Lake
Menagerie Wilderness Addition -  Moose Mountain
Merritt Creek
Metolius Breaks
Mid Barnes Valley Creek
Middle Fork of the North Fork Smith River (Lesley Headwaters)
Middle Santiam Wilderness Additions Upper Quartzville Creek
Middle Willow
Miles Mountain
Mill Creek
Mill Creek Additions
Mill Creek Buttes
Miller Creek
Mineral Canyon
Minniece Point
Mistletoe-Clackamas River
Modoc Mountain
Modoc Point
Mokst Butte
Molalla Headwaters Dead Horse Canyon
Monon Lake
Monson Valley
Monterica Creek
Monument Rock Additions
Moon Creek
Moonshine Canyon - North Mount Emily
Moose Creek
Morgan Creek
Morine Creek
Morris Creek
Moss Mountain
Moss-Pass Butte
Mount Bachelor
Mount Bailey
Mount Bidwell
